Year,Probability_15_SSP1,Probability_20_SSP1,Probability_15_SSP2,Probability_20_SSP2,Probability_15_SSP3,Probability_20_SSP3,Probability_15_SSP4,Probability_20_SSP4,Probability_15_SSP5,Probability_20_SSP5
2076,0.0,0.0,0.04179,0.0,0.98293,0.09653,0.99998,0.88219,1.0,0.99692
2077,0.0,0.0,0.03747,0.0,0.98421,0.10462,0.99998,0.89834,1.0,0.99771
2078,0.0,0.0,0.03309,0.0,0.98569,0.11261,0.99998,0.91291,1.0,0.99811
2079,0.0,0.0,0.02963,0.0,0.98651,0.12083,0.99998,0.92593,1.0,0.99846
2080,0.0,0.0,0.02554,0.0,0.98764,0.13058,0.99998,0.93774,1.0,0.99873
2081,0.0,0.0,0.02308,0.0,0.98888,0.14088,0.99998,0.94844,1.0,0.99895
2082,0.0,0.0,0.02179,0.0,0.98994,0.15239,0.99998,0.95742,1.0,0.99924
2083,0.0,0.0,0.01985,0.0,0.991,0.16301,0.99999,0.96481,1.0,0.99937
2084,0.0,0.0,0.01781,0.0,0.99152,0.17434,0.99999,0.97131,1.0,0.99957
2085,0.0,0.0,0.01546,0.0,0.99224,0.18398,1.0,0.97587,1.0,0.99967
2086,0.0,0.0,0.01407,0.0,0.99276,0.19475,1.0,0.97974,1.0,0.99978
2087,0.0,0.0,0.01194,0.0,0.99334,0.20408,1.0,0.98352,1.0,0.99984
2088,0.0,0.0,0.01062,0.0,0.99351,0.2118,1.0,0.98617,1.0,0.99985
2089,0.0,0.0,0.00907,0.0,0.9938,0.21865,1.0,0.98874,1.0,0.99987
2090,0.0,0.0,0.00786,0.0,0.99392,0.22651,1.0,0.9906,1.0,0.9999
2091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
